id;Patente;Vehiculo;Consumo
0;NQQ524;AGRALE 8500;20
1;LLG752;AGRALE 8500 - CAMION  C/BARANDAS - LLG752;20
2;MAQ016;BOMBA AGUA - MAQ016;1
3;AB230AI;CAMION FORD CARGO 1119/39 EV;20
4;MJT334;CAMION HYUNDAI HD78 - MJT334;20
5;MAQ121;CARGADORA LONKING CDM833 - mc 2;10
6;MAQ142;CARGADORA NEW HOLLAND B90B 4X2 94 HP ASPIRADA;12
7;EFY225;CHEVROLET PICK-UP 4X2 - EFY225;10
8;MAQ333;COMPACTADOR LONKING CDM512D - MAQ333;1
9;VAD584;FIAT 150 TURBO N ;20
10;WNV591;FIAT 673 N ;10
11;CGB609;FIAT PALIO - CGB609 (alquilado);12
12;JDI693;FORD CAM CARGO 1722 ;25
13;GGC006;FORD CARGO 915 - GGC006;20
14;RXO801;FORD F100 D - RXO801;12
15;EFY239;FORD F100 PICK-UP - EFY239;15
16;CLY922;FORD F14000 - CLY922;15
17;SQL545;FORD F350 - SQL545;20
18;FOO783;FORD F4000 D - FOO783 CON GRUA;20
19;GSS106;FORD F4000 D - GSS106 CON GRUA;20
20;FIY194;FORD RANGER 2.8 TDI 4X2 - FIY194;20
21;IXJ937;FORD RANGER 3.0 CS 4X2 - IXJ937;12
22;OIG649;FORD RANGER DC 4X4 SAFETY TDCI (JKA5);15
23;FGL838;FORD RANGER PICK-UP - FGL838;15
24;GOF630;FORD RANGER PICK-UP - GOF630;12
25;MAQ145;FUSIONADORA FIBRA OPTICA INNO - MAQ145;10
26;BWV903;HYUNDAI H1001.0 GLS  TRUCK - BWV903;20
27;IOW681;HYUNDAI HD78 EURO III AA;20
28;CVZ448;HYUNDAI MIGHTY CAMION RUTERO   - CVZ448;20
29;LLG762;IVECO CAMION C/BARANDAS ;20
30;CJA12;JCB - CARGADORA RETROEXCAVADORA - CJA12 - RE5;10
31;MAQ133;JCB - CARGADORA RETROEXCAVADORA c/brazo extensible - MAQ 133 - RE6;20
32;MAQ024;JCB - RETRO-EXCAVADORA BOBCAT - MAQ024;20
33;MAQ132;JOHN DEERE 310j - RETRO-EXCAVADORA - MAQ132;20
34;CNL042;KIA CAMION RUTERO - CNL042;25
35;BJG83;KOMATSU - MOTONIVELADORA ;20
36;BSG79;KOMATSU PC200-8 RETRO-EXCAVADORA  ;10
37;MAQ110;LIANGONG - EXCAVADORA R323 LC ;12
38;MAQ111;LIANGONG R323 - EXCAVADORA ;20
39;TRM780;MERCEDES BENZ 1114 - TRM780;20
40;WUG519;MERCEDES BENZ L-608 - WUG519;18
41;CQW486;MERCEDEZ 1720 - CQW 486;20
42;MAQ009;MINICARGADORA BOBCAT 513 - MAQ009;10
43;MAQ118;MINICARGADORA LIANGONG - MAQ118;10
44;MAQ051;MOTOCOMPRESOR - ATLAS COPCO No existe más;12
45;MAQ052;MOTOCOMPRESOR SULLAIR - MAQ052 H10;10
46;JDD950;NISSAN FRONTIER NP 300 - JDD950;15
47;CPO281;PEUGEOT PICK UP 504 GD - CPO281;12
48;BUP156;RENAULT EXPRESS RN - BUP156;9
49;FXX718;RENAULT KANGOO EXP CONFORT 1.9 AA - FXX718;12
50;BHK74;RETRO-CARGADOR KOMATSU BHK74 WB146 - R3;20
51;DRJ860;TOYOTA DYNA 300 - DRJ860;10
52;GVM689;TOYOTA HILUX 4X2 2.5 TD DC DX PACK - GVM689;20
53;HBX095;TOYOTA HILUX 4X4 - HBX095;15
54;KAR646;VOLKSWAGEN AMAROK 4X2 - KAR646;15
55;OXZ393;VOLVO 436-VM260 4x2 R ;20
56;ENT034;VOLVO VM17-240LL C/D  4X2 ;20
